Observación;MUESTRA;PROYECTO;TIPO PELIGRO;PELIGRO ESPECIFICO;LONGITUD;LATITUD
1;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Otro Peligro;Erosión Fluvial;-69.54638203;-16.07900797
2;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Otro Peligro;Erosión Fluvial;-69.38954491;-16.21706803
3;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Otro Peligro;Erosión Fluvial;-69.7054335;-16.94016006
4;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Otro Peligro;Erosión Fluvial;-69.69958653;-16.99189238
5;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Otro Peligro;Erosión Fluvial;-70.35353541;-16.02410529
6;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Flujo;Flujo de Detrito;-69.70587749;-16.88790377
7;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Flujo;Flujo de Detrito;-69.701967;-16.9094302
8;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Flujo;Flujo de Detrito;-70.34323134;-16.14018471
9;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Flujo;Flujo de Detrito;-70.33636818;-16.14024592
10;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Flujo;Flujo de Detrito;-70.32777038;-16.13539188
11;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Flujo;Flujo de Detrito;-70.41198971;-16.12728611
12;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Flujo;Flujo de Detrito;-70.33989778;-16.07263598
13;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Flujo;Flujo de Detrito;-69.66588366;-16.53397774
14;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Flujo;Flujo de Detrito;-69.66068118;-16.52529831
15;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Flujo;Flujo de Detrito;-69.65004575;-16.47215234
16;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Reptacion;Reptación de Suelo;-70.33971335;-16.13848959
17;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Otro Peligro;Inundación;-69.55957475;-16.08238194
18;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Otro Peligro;Inundación;-69.02808946;-16.3531526
19;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Flujo;Flujo de Detrito;-70.11214111;-17.48858086
20;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Flujo;Flujo de Lodo;-69.80782217;-17.62381843
21;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Otro Peligro;Arenamiento;-74.64082266;-15.6251068
22;Peligros;Estudio Riesgos Geológicos -  Franjas 1,2,3,4;Caida;Derrumbe;-73.26935728;-14.51346304
